lon,lat,locode
3.96301007270813,43.57619857788086,FR MGU
32.572601,-25.920799,MZ MPM
2.040833,49.096667,FR IYA
30.6765,46.4268,UA ODS
16.8263,52.421001,PL POZ
-58.44720077514648,-51.82279968261719,
58.75569915771485,53.39310073852539,
18.98999977111816,63.40829849243164,
-170.710007,-14.331,
40.6316986084,37.2233009338,TR KZE
-4.050000190734863,9.600000381469728,
69.183273,54.774702,
31.1056003571,-25.3831996918,
-169.669998,-14.1844,
-156.431212,20.898543,
15.0609998703,32.325000762939,
-58.1059,6.80628,GY OGL
35.008057,-1.406111,
118.7590026855469,9.742119789123535,
-149.606995,-17.553699,
5.22142410278,43.439271922,FR MGN
57.683601,-20.430201,MU PMG
43.08190155029297,44.22510147094727,
38.085995,40.966872,
5.41278,31.9172,
103.9931,10.1698,VN PQC
44.606602,43.205101,
20.7423,41.18,
141.367996,40.703201,JP MSJ
142.879772,53.517656,
-93.221802,44.882,US TSN
56.62541,24.38604,
39.37009811401367,15.67000007629394,
14.26,50.1008,CZ PRG
28.039964,53.888071,
41.66120147705078,38.74779891967773,
131.736999512,33.47940063479999,JP KNS
5.77014,50.911701,NL ZAK
27.55249977111816,-29.46229934692383,
127.646004,26.195801,
21.035801,42.5728,
-90.25800323486328,29.99340057373047,US KES
-97.6007,35.393101,US OKC
59.623299,42.4884,UZ NCU
10.3927,43.683899,IT PSA
133.854996,34.756901,JP OKJ
-66.56300354003906,18.00830078125,
9.51763,40.898701,
35.246106,-1.324213,
-100.107002,25.7785,MX APD
-70.8233032227,43.0778999329,US NWZ
157.263,-8.32797,
23.43110084533692,-19.97260093688965,
11.7861,48.353802,DE ODD
-116.507004,33.8297,US PSP
14.1811,42.431702,IT PSR
27.221701,31.325399,
35.110689,-1.408586,
-95.894096,41.3032,US OMA
-63.153348,9.749023,VE MUN
16.446699,-28.5847,
-165.4450073242188,64.51219940185547,
71.41909790039062,30.20319938659668,PK MXC
45.0686988831,37.6680984497,
33.8021,-1.503,
29.458615,-23.845269,
13.4379997253418,-1.656159996986389,
17.84589958190918,43.28290176391602,
-35.366578,-5.769804,BR SAN
-56.0308,-34.838402,
21.90250015258789,47.02529907226562,RO OMR
-83.420097351074,42.665500640869,
73.31050109863281,54.96699905395508,RU OMS
14.257399559021,10.45139980316162,CM MVR
-61.531799,16.265301,
32.0886,41.506401,TR CUM
-79.3834991455,9.0713596344,PA TOC
-117.6009979248047,34.05599975585938,US ONT
126.382814,34.991406,
-0.418610990047455,43.38000106811523,FR UZZ
153.506641,-28.165962,
143.238006592,-6.36332988739,
82.618675,55.019756,
-10.75870037078857,6.289060115814209,
-68.36340332030001,18.5673999786,
-80.278397,25.907,
-8.68138980865,41.2481002808,PT MAI
8.72811,45.6306,IT FEN
15.03800010681152,59.22370147705078,SE ORB
-70.854599,-53.002602,CL PUQ
